timestamp,git_commit,allocator,num_threads,mean_time_ns,std_dev_ns,turns_per_sec,bytes_per_turn,mean_time_ci_lower_ns,mean_time_ci_upper_ns
2025-11-05T14:11:13.530750,a75fd1a3,system,64,18.069047089127857,1.029037151958836,55343261.604631044,0.0,17.408155227953596,18.613328654756216
2025-11-05T14:11:32.398120,a75fd1a3,mimalloc,1,86.53203301554512,0.4497849887446747,11556414.025547674,0.0,86.24975136271973,86.78436619695415
2025-11-05T14:11:46.324131,a75fd1a3,mimalloc,2,50.88264927201085,0.7604909165282123,19653064.734388202,0.0,50.437009448460884,51.32584698706152
2025-11-05T14:12:01.514266,a75fd1a3,mimalloc,3,34.37240967098477,0.370329796983302,29093101.4023187,0.0,34.14433408850232,34.57691255588863
2025-11-05T14:12:15.423163,a75fd1a3,mimalloc,4,25.831397494809362,0.2228692049658893,38712578.37292554,0.0,25.704015010368686,25.964917262203592
2025-11-05T14:12:31.500118,a75fd1a3,mimalloc,5,20.799700698571222,0.15883897153137583,48077614.88936676,0.0,20.709428985579812,20.893592682539527
2025-11-05T14:12:47.045317,a75fd1a3,mimalloc,6,18.518419081662607,0.4107920778795081,54000289.9594288,0.0,18.298657645304754,18.77327051210687
2025-11-05T14:13:02.402448,a75fd1a3,mimalloc,7,18.165421941957902,0.2517909051025416,55049643.39365178,0.0,18.031328982108725,18.322488800874588
2025-11-05T14:13:17.789356,a75fd1a3,mimalloc,8,18.246308468914638,0.006548714980632815,54805606.38902122,0.0,18.242501390433564,18.25008933453543
2025-11-05T14:13:32.362895,a75fd1a3,mimalloc,9,30.77057774184586,0.6722563176641881,32498577.322455313,0.0,30.376076176212006,31.168275434485725
2025-11-05T14:13:46.514795,a75fd1a3,mimalloc,10,27.808782667534665,0.6501174899826649,35959862.46343134,0.0,27.412615295669923,28.16637403875544
2025-11-05T14:14:00.209136,a75fd1a3,mimalloc,11,25.221127713672757,0.6660870240893226,39649297.658402674,0.0,24.821624155620054,25.605777661162694
2025-11-05T14:14:13.619312,a75fd1a3,mimalloc,12,24.621473703330565,0.9777134784473633,40614953.11162992,0.0,24.074966367008393,25.21847995591775
2025-11-05T14:14:27.550214,a75fd1a3,mimalloc,13,25.942461311680823,0.764836621450497,38546843.64701129,0.0,25.46948809944564,26.37629604315129
2025-11-05T14:14:41.499879,a75fd1a3,mimalloc,14,26.33598288865054,1.1020330784912487,37970863.067007415,0.0,25.754246424866217,27.03912276926543
2025-11-05T14:14:55.571076,a75fd1a3,mimalloc,15,27.271944360579955,0.7978912759563572,36667719.27877072,0.0,26.825064151347874,27.754089715155523
2025-11-05T14:15:09.734760,a75fd1a3,mimalloc,16,27.516289074221596,0.28020820692477344,36342109.8427419,0.0,27.347084276579665,27.676842685491152
2025-11-05T14:15:24.323884,a75fd1a3,mimalloc,17,31.23452257565406,0.553594844948979,32015856.73601607,0.0,30.902741900837622,31.548657134352748
2025-11-05T14:15:38.712880,a75fd1a3,mimalloc,18,29.845658662227446,0.5868439454040018,33505710.53959001,0.0,29.499355826248454,30.18722207233252
2025-11-05T14:15:52.974593,a75fd1a3,mimalloc,19,27.923919125562897,0.3774143772612571,35811592.044203855,0.0,27.726387504046603,28.161601245932637
2025-11-05T14:16:06.922686,a75fd1a3,mimalloc,20,27.217080748811792,0.6487520547137962,36741633.28643013,0.0,26.86038162459021,27.618665957206222
2025-11-05T14:16:20.737010,a75fd1a3,mimalloc,21,27.17102573679196,0.6941468294862745,36803910.521711074,0.0,26.80927712850083,27.61344407428358
2025-11-05T14:16:34.858208,a75fd1a3,mimalloc,22,27.751299241816515,0.7373387215160425,36034348.92493859,0.0,27.30059732876406,28.168040653186615
2025-11-05T14:16:48.997068,a75fd1a3,mimalloc,23,27.5098574708666,0.3885093540186288,36350606.36206555,0.0,27.29184794711267,27.74357659304934
2025-11-05T14:17:03.090853,a75fd1a3,mimalloc,24,27.395177785176486,0.21383510184478874,36502774.60659881,0.0,27.267602490689107,27.524295479373812
2025-11-05T14:17:17.597678,a75fd1a3,mimalloc,25,29.915281664568454,0.5691549787010319,33427731.392026175,0.0,29.602195588128268,30.268808563702624
2025-11-05T14:17:31.970817,a75fd1a3,mimalloc,26,28.941420460538403,0.42724088595927223,34552554.23152084,0.0,28.68798917651454,29.182493659680098
2025-11-05T14:17:46.116087,a75fd1a3,mimalloc,27,27.925102597563047,0.4501896513913785,35810074.34104351,0.0,27.662357594596557,28.183206944453683
2025-11-05T14:18:00.194761,a75fd1a3,mimalloc,28,27.549795234425737,1.182275922431393,36297910.4378394,0.0,26.942934599641298,28.305175246824597
2025-11-05T14:18:14.228310,a75fd1a3,mimalloc,29,27.332740687884087,0.6665051130993097,36586159.120269805,0.0,26.918486196557467,27.71055286570867
2025-11-05T14:18:28.318640,a75fd1a3,mimalloc,30,27.443222934427503,0.8825439061903224,36438868.80157581,0.0,26.952202899864503,27.971863747444086
2025-11-05T14:18:42.252225,a75fd1a3,mimalloc,31,27.07560569318784,0.30236051220374094,36933615.126903616,0.0,26.899200401195788,27.25300475661419
2025-11-05T14:18:56.191018,a75fd1a3,mimalloc,32,27.600587653599,0.9685224052873301,36231112.632473394,0.0,27.16292958530018,28.262328155541365
2025-11-05T14:19:09.036704,a75fd1a3,mimalloc,48,21.133650985391597,0.5693616050984843,47317900.75890053,0.0,20.803154381666886,21.457475802596758
2025-11-05T14:19:23.900978,a75fd1a3,mimalloc,64,16.658764260926937,0.9571601992949963,60028462.155833244,0.0,16.17898895518167,17.314869738141333
2025-11-05T14:19:38.555636,a75fd1a3,jemalloc,1,85.71626400493507,0.47196229311559135,11666397.405542845,0.0,85.42909409646417,85.98076275130225
2025-11-05T14:19:52.483022,a75fd1a3,jemalloc,2,51.97812942859116,0.9226698231208952,19238860.863083284,0.0,51.61940619962536,52.584089873212086
2025-11-05T14:20:07.507189,a75fd1a3,jemalloc,3,34.015061513901614,0.1542271728318233,29398741.483719207,0.0,33.91715779282733,34.095773485318134
2025-11-05T14:20:21.397687,a75fd1a3,jemalloc,4,26.26626575200499,0.1551700673051933,38071647.08685957,0.0,26.180625902238308,26.36507021279221
2025-11-05T14:20:37.535866,a75fd1a3,jemalloc,5,21.051420301015686,0.06792632852705385,47502733.10308436,0.0,21.00940527037726,21.089112276615275
2025-11-05T14:20:53.137865,a75fd1a3,jemalloc,6,19.018997118471546,0.05690379386294074,52579007.91355526,0.0,18.992137306948873,19.055991721517607
2025-11-05T14:21:08.531787,a75fd1a3,jemalloc,7,18.388287993254433,0.006444958101846986,54382441.71327099,0.0,18.384524327618397,18.392091034243723
2025-11-05T14:21:23.897361,a75fd1a3,jemalloc,8,18.251385563379607,0.012558273527688334,54790360.79356323,0.0,18.244654233782253,18.259524570854218
2025-11-05T14:21:38.425212,a75fd1a3,jemalloc,9,30.485202152043364,0.059640054356587736,32802800.3558104,0.0,30.46246457875178,30.524484101051627
2025-11-05T14:21:52.769060,a75fd1a3,jemalloc,10,28.555687487740823,0.01626530451329306,35019293.45701475,0.0,28.547948201881916,28.566409131376947
2025-11-05T14:22:06.559890,a75fd1a3,jemalloc,11,25.46634946244342,0.020894417714197384,39267504.80962154,0.0,25.45520018309633,25.479924770844843
2025-11-05T14:22:20.272708,a75fd1a3,jemalloc,12,24.72430109940831,0.08883172031511954,40446037.11867639,0.0,24.68398123959039,24.782992046946507
2025-11-05T14:22:34.124747,a75fd1a3,jemalloc,13,26.066172803088943,0.3474467735507062,38363898.2045533,0.0,25.947103619231008,26.289593544266392
2025-11-05T14:22:48.479886,a75fd1a3,jemalloc,14,29.524008170396506,0.012583043540544217,33870739.847670555,0.0,29.517201654856883,29.531698902725413
2025-11-05T14:23:02.551561,a75fd1a3,jemalloc,15,26.915650887857943,0.1460319150376301,37153104.86699451,0.0,26.81327969401546,26.986554207273166
2025-11-05T14:23:16.646234,a75fd1a3,jemalloc,16,27.578750146337352,0.08196833254059183,36259801.285186484,0.0,27.543995860160404,27.635010512920605
2025-11-05T14:23:31.314287,a75fd1a3,jemalloc,17,31.77060387290178,0.02575071488921203,31475637.164483793,0.0,31.7592459385015,31.78789830171751
2025-11-05T14:23:45.746915,a75fd1a3,jemalloc,18,29.735536181015494,0.011110227343167777,33629795.471401155,0.0,29.729370144212506,29.742353168024874
2025-11-05T14:24:00.012813,a75fd1a3,jemalloc,19,28.785823762319268,0.009728253316558529,34739321.97518013,0.0,28.780028796839172,28.791254289774606
2025-11-05T14:24:14.189736,a75fd1a3,jemalloc,20,28.17831171263206,0.011820507700907161,35488286.53037115,0.0,28.171318604677616,28.185116741651637
2025-11-05T14:24:28.303220,a75fd1a3,jemalloc,21,28.02149274958058,0.01544886813786575,35686892.51984864,0.0,28.013293220484968,28.03116338074296
2025-11-05T14:24:42.231213,a75fd1a3,jemalloc,22,26.614610305284543,0.009066231152922375,37573347.440726645,0.0,26.60961941539916,26.620129810038826
2025-11-05T14:24:56.164972,a75fd1a3,jemalloc,23,26.710778362615372,0.08102967254867116,37438070.37085854,0.0,26.674850513413315,26.764625240888158
2025-11-05T14:25:10.230743,a75fd1a3,jemalloc,24,27.458379614832857,0.012868065465444826,36418755.004020914,0.0,27.451144160572703,27.465970220504534
2025-11-05T14:25:24.682928,a75fd1a3,jemalloc,25,30.267013856578597,0.05332960890004104,33039268.58257436,0.0,30.236398652553817,30.29897838371995
2025-11-05T14:25:39.002376,a75fd1a3,jemalloc,26,29.103935021732713,0.13170348011199526,34359614.91988187,0.0,29.031725748062264,29.196006618390168
2025-11-05T14:25:53.178419,a75fd1a3,jemalloc,27,28.34958184527544,0.03653188267217914,35273888.88688859,0.0,28.32907174127371,28.371433152593728
2025-11-05T14:26:07.229838,a75fd1a3,jemalloc,28,27.539604397427752,0.004892468027240955,36311342.22441488,0.0,27.53656359712006,27.542342598620998
2025-11-05T14:26:21.314769,a75fd1a3,jemalloc,29,27.941986289507167,0.2891179273826458,35788436.428212054,0.0,27.745744723901797,28.07739483152206
2025-11-05T14:26:35.428236,a75fd1a3,jemalloc,30,27.911340491124612,0.012933259713485839,35827731.03706664,0.0,27.903773472444488,27.91908743065388
2025-11-05T14:26:49.531794,a75fd1a3,jemalloc,31,27.817988320441135,0.014857995291992715,35947962.465178795,0.0,27.809371976410915,27.826962575378268
2025-11-05T14:27:03.685713,a75fd1a3,jemalloc,32,27.791330696223827,0.013514139566769206,35982443.98336334,0.0,27.7840475784377,27.800023724312354
2025-11-05T14:27:19.509630,a75fd1a3,jemalloc,48,20.023876526624253,0.0637695574148509,49940379.85953293,0.0,19.98595936603774,20.06035683725542
2025-11-05T14:27:34.194460,a75fd1a3,jemalloc,64,16.500189922962022,0.3641322984045757,60605363.00908745,0.0,16.34679132762079,16.734388158052933
